Product_ID,Product_Name,Brand,Price,Rating,Availability,Scrape_Date,Scrape_Time,Product_URL
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",TRIGGR,749.0,4.0,In Stock,2026-09-22,14:19:52,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",Mivi,1499.0,3.9,Out of Stock,2026-09-22,14:20:11,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",TRIGGR,749.0,4,In Stock,2026-09-22,14:31:12,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",Mivi,1499.0,3.9,Out of Stock,2026-09-22,14:31:33,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
